Date,Market_Returns,Asset_Returns
2020-01-02,0.0,0.0
2020-01-03,-0.0071183229449656585,-0.016064291003771977
2020-01-06,0.0034743252702793383,0.0041345579969638115
2020-01-07,-0.0028627624624200324,0.012047146338364656
2020-01-08,0.004843205336021109,0.0018162136130929127
2020-01-09,0.006595738795965178,0.010923048989307049
2020-01-10,-0.0029146231351288012,0.005289958636358617
2020-01-13,0.006916294618027669,0.03129257959707909
2020-01-14,-0.001575247057381183,-0.018713172999464147
2020-01-15,0.0018103556140276658,-0.006974943369905988
2020-01-16,0.008306314930965265,0.013622101968250346
2020-01-17,0.0038017257404891367,0.0013457124356105906
2020-01-21,-0.0027116205053410074,-0.005435192691226822
2020-01-22,0.00022903638812424195,0.008692075104390544
2020-01-23,0.0010808575654269773,0.010935007306283166
2020-01-24,-0.00910128795871283,-0.009471313136412736
2020-01-27,-0.015790433881215385,-0.04110107811442788
2020-01-28,0.009992870310467057,0.03228734945896708
2020-01-29,-0.0009271916504289701,-0.00985983545756096
2020-01-30,0.003073723872083986,0.0010389154087860313
2020-01-31,-0.01776574101006845,-0.03821949787000801
2020-02-03,0.007194375796848709,0.016435200308410537
2020-02-04,0.014919382418542362,0.02823337150353307
2020-02-05,0.011190278438293134,0.014628130431742837
2020-02-06,0.0032649585922066866,0.01385707209074208
2020-02-07,-0.005461091768233137,-0.010522318918182526
2020-02-10,0.0072660803453299515,0.04517202961225798
2020-02-11,0.0016274408076953496,0.018648145021552834
2020-02-12,0.0064017337691095015,0.017297129959421047
2020-02-13,-0.0016917552589089113,-0.006519312162729551
2020-02-14,0.0017826206233457036,0.07014398655630576
2020-02-18,-0.0029808553339782558,0.02333534209672942
2020-02-19,0.0046445557231155855,0.0610709106666509
2020-02-20,-0.003876551509167921,-0.01912669346681166
2020-02-21,-0.010578341122625866,-0.04745264190865258
2020-02-24,-0.033573269529198584,-0.07075704061316045
2020-02-25,-0.03033912254956154,-0.041152512882644696
2020-02-26,-0.0038371914007514834,0.021311337474575663
2020-02-28,-0.0082871499689283,0.06911208512189616
2020-03-03,-0.028144324691823267,-0.03816544549851409
2020-03-04,0.04217580505973241,0.07000206788981846
2020-03-05,-0.033945688159134985,-0.039459687742149446
2020-03-06,-0.017070320254007246,-0.026545073867821137
2020-03-19,0.004708919151730978,0.05004561820533936
2020-03-23,-0.02929228052025261,0.03373169490715118
2020-03-25,0.011537789226011603,-0.014284065586924148
2020-03-27,-0.033685050975017165,-0.017530187685928948
2020-03-30,0.03351549361067363,0.05088421721518133
2020-03-31,-0.016013912390719472,-0.007494088912288529
2020-04-02,0.022826767869886758,0.051011667084505066
2020-04-03,-0.01513942671218483,-0.045252231745881784
2020-04-07,-0.0016081321497518023,-0.03491571488127459
2020-04-08,0.03404911160969445,0.030568131852948564
2020-04-09,0.014479076820303357,-0.014992494421372408
2020-04-13,-0.010112597330662186,0.026233117198456647
2020-04-14,0.030566041526948248,0.05224462466012941
2020-04-15,-0.022035002021562052,-0.010957257675219262
2020-04-16,0.005812324382823088,0.04934756600865964
2020-04-17,0.02678950754663138,-0.008080022602928023
2020-04-20,-0.017883825811804293,-0.01803113579648256
2020-04-21,-0.030678684582850578,-0.06110807802907844
2020-04-22,0.022926557227565786,0.061737842214973165
2020-04-23,-0.0005431125960211069,-0.007482264145007495
2020-04-24,0.013914089050518042,0.01964331969082166
2020-04-27,0.01471037932852162,0.02586035207730722
2020-04-28,-0.005245753714407411,-0.01925747731570573
2020-04-29,0.02658034485345371,0.02436501124218835
